"page_name","funding_entity"
"Montana True","SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee"
"Beridon for Judge","Elect Beridon - Sherri Crowley, Treasurer "
"Mary Adams for House","Mary Adams on her own behalf"
"NARAL Pro-Choice Colorado","NARAL Pro-Choice Colorado"
"The Bell Action Network","The Bell Action Network"
"Adams for Emma","BlueFlower Action"
"Steve O'Dorisio, Adams County Commissioner","O'Dorisio for Adams County"
"Joe Adams For Missouri","Joe Adams For Missouri Nancy Shulze Adams Treasure"
"Senator Beth Martinez Humenik","Martinez Humenik SD24"
"Patrick O'Connor",NA
"Perry Miller for ND Senate","Perry Miller for ND Senate"
"Coloradans for Fairness","Coloradans for Fairness"
"Matt Eidson for House","District 43, Dan Hinnenkamp - Treasurer"
"Bill Wooton",NA
"GOPAC","GOPAC Not Authorized by Any Candidate or Candidate Committee"
"Julie Raque Adams",NA
"Senator Stephanie Bice","Friends of Stephanie Bice 2018"
"Adam Hertz","Adam Hertz for Montana"
"Rosendale Democratic Committee","Rosendale Democratic Committee"
"Get the Facts on Jen Metzger","New York State Senate Republican Campaign Committee"
"Cascade County Democratic Central Committee",NA
"Leesha Ford for HD21","Leesha Ford for MT Legislature • Treasurer: Peggy Tremper"
"Indivisible Montana","Sydney"
"Living Independently for Today and Tomorrow (LIFTT)","Living Independently for Today & Tomorrow Inc."
"Missoula Current",NA
"Montana Trout Unlimited","Montana Trout Unlimited"
"Montana Food Bank Network","the Economic Security Fund"
"Montana True",NA
"Baltimore County Campaign for Liberty","Maryland Campaign for Liberty Inc. paid for this communication and is solely responsible for its content. Maryland Campaign for Liberty Inc. is an IRS 501(c)4 non-profit organization. Maryland Campaign for Liberty Inc. does not endorse, support or oppose any candidate or public office holder."
"Robbie Leonard for Senate","Friends of Robert Leonard, Michael Brown, Treasurer"
"Jon W Schultz for Wisconsin Senate",NA
"Rail Customer Coalition",NA
"Keep Ray Grogan Our Marion County Prosecutor","Friends of Ray Grogan."
"Save Our Senate - SOS","POLICE OFFICERS DEFENSE ALLIANCE"
"For Nevada's Future","For Our Future. Not authorized by any candidate or candidate's committee."
"SEIU Nevada","SEIU Nevada Local 1107"
"Clark County Education Association","Clark County Education Association"
"Unidos US Action Fund","UnidosUS Action Fund"
"Dont California Our Nevada","DontCaliforniaOurNevada"
"Protect Our Care Nevada","Protect Our Care Nevada"
"Annie Black for Mesquite City Council","Friends to Elect Annie Black"
"Dick Harpootlian for SC State Senate","Harpootlian for Senate"
"Charles Gallia for Oregon State Senate","Charles Gallia for Oregon"
"Charles Kallas for Indiana State Senate 1st District","the Committee to Elect Charles Kallas"
"Vote Charles Johnson for Indiana Senate 45","Friends of Charles Johnson"
"Building Stronger Communities","Building Stronger Communities"
"Elect Bill Dotson","Friends to Elect Bill Dotson, Mike Turner Treasurer"
"Re-Elect Charles Allen, Ward 6","Re-Elect Charles Allen for Ward 6, Pat Johnson, Treasurer, 1530 D Street, NE Washington, DC 20002"
"Elect Bill Dotson","Friends to Elect Bill Dotson, Mike Turner, Treasurer"
"Get the Facts on Aaron Gladd","New York State Senate Republican Campaign Committee"
"Jason for South Dakota",NA
"Mark Lounsbury for State Senate","Lounsbury 2018/ Charles Catania, Treasurer/ Approved by Mark Lounsbury"
"LD-20 Candidates 2018","Loftus 2018 Committee"
"Charles Loftus","Loftus 2018  "
"Meg Walsh for Texas Senate","Meg Walsh for Texas"
"DeWitte for Illinois Senate","DeWitte for Illinois Senate."
"Tally Ho Theater",NA
"Anne OBryant for GA Senate Dist. 30","Anne OBryant for West GA"
"Charles Johnson","Friends of Charles Johnson"
"Charles Payne W Street","Charles Payne W Street"
"Dr. Charles Sammons for Senate","Charles Sammons for State Senate"
"Baker for Governor","Friends of Rushern Baker III"
"Senator Mac Middleton","Friends of Thomas ""Mac"" Middleton, Earle Knapp, Jr., Treasurer"
"Charles Potter Jr. State Representative 1st District","Potter for State Rep"
"Jim Williams 4 State Senate","Jim Williams 4 Senate 12, PO Box 2811, Anniston, AL 36202"
"Charles Catania","Charles Catania"
"Dr. Charles Sammons for Senate",NA
"Reform Austin","Reform Austin, Inc. "
"ISRA - Illinois State Rifle Assn. Town Hall NW","Gary Daugherty"
"Harper Peterson for NC Senate","Committee to Elect Harper Peterson "
"Tommi Makila for Maryland Senate","Friends of Tommi Makila (Dionne A. Makila, Treasurer)"
"Center for Media and Democracy",NA
"Bill Eigel",NA
"Charles Messick for Senate","Messick for Senate"
"Dr. Bob Onder","Onder for Missouri, Doug Mueller, CPA Treasurer"
"Mack for NC","Mack Paul for NC Senate"
"Women To Women Nevada","Pepe Paz"
"Amber Carter For Judge","Friends of Amber Carter"
"Elect McGee","Committee to Elect Brian McGee, PO Box 435, Valley, AL 36854"
"Tim Hagan","Tim Hagan for Senate Committee."
"Kim Rosen for Maine","Rosen for Senate, Treasurer Melissa Osborne"
"Avrum J. Rosen for New York State Assembly, 12th Assembly District","Friends of Avrum J. Rosen"
"WinWisely","WinWisely"
"Michael Lausell for State Senate","Friends of Michael Lausell"
"David Michael for Madison County Board",NA
"Scaglione and Caliguire","Somerset County Republican Organization"
"John Flanagan for Senate","Friends of John Flanagan"
"Senator John Flanagan","Friends of John Flanagan"
"Christine Pellegrino for NY Assembly District 9","Friends of Christine Pellegrino"
"Kathleen Cleary for NYS Senate",NA
"Transportation Alternatives","Transportation Alternatives"
"The Briefly","The Briefly, a New York City daily news digest newsletter."
"Haefele Flanagan",NA
"Latinas United for Political Empowerment PAC (LUPEPAC)","Latinas United for Political Empowerment PAC"
"Dalina & Enriquez for Sayreville","Sayreville Democratic Organization"
"Michael Wildes for Mayor, Lawyer, Author, & Professor","Michael Wildes for Mayor"
"Steven Fulop","The Election Fund for Steven Fulop 2021"
"Silent Shanel & No-Show Sara","Somerset County Republican Organization"
"Action Together New Jersey",NA
"Passaic County Democrats","Passaic County Democratic Committee"
"Tom DeGise","Thomas DeGise Election Fund"
"New Jersey Firefighters PFANJ","Professional Firefighters Association of New Jersey"
"Skydive Jersey","Skydive Jersey"
"Bayonne Democrats","Bayonne Democrats"
"Central Jersey Libertarians","the New Jersey Libertarian Party"
"Tony Mendoza","Mendoza for Senate 2018 #1373700"
"ELM Action Fund","ELM Action Fund Political Action Committee"
"Rita Topalian for Senate","Rita Topalian for Senate 32 Special Election 2018 - FPPC ID: 1405928"
"Vanessa Delgado For Senate 2018","Delgado for Senate Special Election 2018, FPPC#1404311"
"Amaad Rivera For State Senate",NA
"Nick Rivera for Michigan State Senate, District 1","Friends of Nicholas Rivera"
"NM Voters","Optimad Media"
"Janemarie Vander Dussen -  For Magistrate Judge District 1","Committee To Elect Janemarie Vander Dussen"
"RoscoeWoods4Judge","Committee to Elect Roscoe Woods For District Court Judge"
"Willie Madrid for New Mexico House District 53","Elect Willie Madrid for NM State Rep. Treasurer, Stephanie Dubois"
"Patriot Majority NM","Patriot Majority NM"
"Melanie Stansbury for NM","Melanie for New Mexico. Donna Lockner, Treasurer."
"Daniel Gallegos for NM Court of Appeals Judge","The Committee To Elect Daniel Gallegos for Judge "
"NM Accountability Project","NM Accountability Project PAC. Jeremy Sment, Treasurer"
"Ranked the Best Las Cruces",NA
"Lisa Papas for Michigan Senate","Lisa Papas for Senate"
"Joe Hooe for Senate","Friends of Joe Hooe - Patrick O'Malley, Treasurer"
"Logically Illiberal","Logically Illiberal"
"Hollis Hackman - Candidate for Wyoming Senate District 21","Hackman for Senate"
"Rich Deecken for State Senate 2018","Rich Deecken for State Senate 2018, David M. Becker Treasurer.  Approved by Rich Deecken."
"Bradley for Washington County Senate","Bradley For Washington County Senate, 454 S Main St, Northfield VT 05663"
"Chuck Schumer D-NY","FRIENDS OF SCHUMER"
"Rich Donaldson for Senate","Rich Donaldson for Senate"
"McKean County Democrats","McKean County Democrats"
"Keep Troy Strong","Sharon MacDonell"
"Lee Saunders","AFSCME"
"Nancy Carlton Bendinger, Candidate for Alabama Senate District 27","the Committee to Elect Nancy Carlton Bendinger, P.O. Box 1869, Auburn,AL 36831"
"Nancy Carlton Bendinger, Candidate for Alabama Senate District 27","the Committee to Elect Nancy Carlton Bendinger"
"Senator Rob Ortt","Rob Ortt for State Senate"
"Roger Victory For State Senate","Roger Victory for State Senate"
"Manhattan Neighborhood Network - MNN","Manhattan Neighborhood Network"
"Barrett Davie for Illinois Senate","Friends of Barrett Davie"
"Joe Weir for State Senate","Joe Weir for State Senate"
"Roger Sayegh For SFV State Senate",NA
"Jen Lunsford","Friends of Jen Lunsford"
"Judy McCullough for Senate District 1","Committee to Elect Judy McCullough for Senate"
"Art Swann","Art Swann for State Senate"
"Michael J. McCaffrey","Michael McCaffrey"
"Progressive Reality Check","J. Keaty. The content in the Progressive Reality Check's page is accurate as far as I can tell from the many resources that I use to validate information. My opinions in these commentaries are mine alone and are not paid for by any candidate or political party. If you do not like what you see, you are welcome to leave my page and never return. Thanks"
"Monroe Township Democrats","Monroe Township Democrats 2018"
"Karen Settlemoir-Berg","Berg for Change, Nicole Rich Treasurer"
"Mike Carey 4 State Senate",NA
"Fred Akshar","Fred Akshar For Our Future"
"Sam Bell for State Senate","Friends of Sam Bell"
"The Traffick",NA
"Carl Carter for Alabama Senate 11",NA
"The Daily Socialist",NA
"Ryan Ferns - WV State Senate","Friends of Ferns"
"BoyerAZ","Boyer for Senate"
"Henry Gaudreau","Committee to Elect Henry Gaudreau, PO Box 163, Chesaning, MI 48616"
"Wayne Johnson For State Auditor","Wayne Johnson for state auditor"
"Paula Garcia for State Representative District 40","Committee to Elect Paula Garcia."
"New Mexico Business Coalition","New Mexico Business Coalition"
"ProgressNow New Mexico","ProgressNowNewMexico"
"Sheryl For South Dakota","Sheryl for South Dakota"
"New Mexico For Equine Rights & Open Government","NM for Equine Rights & Open Government"
"Joanne Ferrary for NM House 37",NA
"Planned Parenthood Texas Votes","Planned Parenthood Texas Votes PAC."
"Gregg Johnson for State Senate","Gregg Johnson for State Senate"
"Dawn Johnson For Georgia State Senate District 47","Dawn Johnson for Georgia State Senate District 47"
"Texas State Association of Fire Fighters","Texas State Fire Fighters Political Education Fund PAC"
"Paula Clemons Combs for KY State Senate","Momentum Appalachia, LLC"
"Phyllis Johnson for ND Senate","Friends of Phyllis Johnson"
"Republican Mainstream Committee","Personal PAC"
"Kentuckians For The Commonwealth","New Power PAC"
"Personal PAC","Personal PAC"
"Sierra for District 21 Senate","Sierra Heitkamp for Senate"
"Monte Gaukler for District 17","Friends of Monte Gaukler, Joel Schleicher Treasurer"
"Senator Jack Johnson","Jack Johnson for State Senate"
"Tamara For Georgia",NA
"Paula Clemons Combs for KY State Senate","Paula Clemons Combs"
"Team Tarwater","""Team Tarwater"" - Brian Cunningham, Treasurer"
"Rob Johnson for MD State Senate - 10th Legislative District","Friends of Rob Johnson, Leslie Johnson, Treasurer"
"Janice Weiner for Iowa State Senate","Janice Weiner for Senate"
"Ruth Johnson for State Senate","Friends of Ruth Johnson | PO Box 301074 | Waterford, Mi 48330 "
"Jim Denning For Kansas","""Jim Denning for Kansas Senate"" - Kathy Vance, Treasurer"
"Senator Fred S. Martin","Sen. Fred S. Martin for Idaho"
"Athens for Everyone","Athens for Everyone"
"Allegan County Clerk Bob Genetski","Bob Genetski for State Senate"
"Randy Seiler","Randy Seiler for Attorney General"
"Annmarie Jensen for Colorado",NA
"Mark Bignell","Friends For Mark Bignell, PO Box 711, Greenville, MI 48838"
"Dana Prieto for OK Senate District 36","Friends of Dana Prieto for OK Senate 2018"
"Gannon for Agriculture","Gannon for Iowa"
"Center for Rural Affairs","Center for Rural Affairs"
"Jeanne Morales Attorney","Jeanne Morales, Attorney"
"Derek Camp for State Senate","Camp for a Better Tomorrow."
"Paula for Kentucky Senate","Paula Setser-Kissick for Kentucky Senate"
"VoteVerhine","Clyde Verhine"
"Melissa Atherholt for Register of Wills","Friends of Melissa Atherholt, Erica Moore Treasurer"
"Jacque for State Senate","Jacque for Senate"
"Representative Steve Green District 2B","THE COMMITTEE TO ELECT STEVE GREEN."
"Gregg Johnson for State Senate",NA
"Ike For State Senate","Friends of Ike Puzon "
"Wayne Johnson State Auditor","Wayne Johnson For State Auditor"
"Global Next: Research and Leadership Institute","Philip Johnson, Ph.D. of Global Next, LLC"
"Ghost Hunts USA",NA
"CVNM Verde Voters Fund","Paid for by CVNM Verde Voters Fund, David Cantor, Treasurer"
"New Mexico House Democratic Campaign Committee","NM HDCC, Alyssa Mitchell, Treasurer"
"CVNM Verde Voters Fund",NA
"Chele Farley for Senate","CHELE FARLEY FOR SENATE INC."
"Gunnigle for State House LD15","Gunnigle for House and Approved by Julie Gunnigle"
"State of Corruption NH","Mike Gill (State of Corruption)"
"1199 SEIU Upstate NY","1199SEIU United Healthcare Workers East"
"J Street","J Street, the political home for pro-Israel, pro-peace Americans."
"Kevin Thomas for New York State Senate District 6",NA
"A Kids Right","John Murtari, AKidsRight, Inc."
"Juan Vides for New York State Assembly, 20th District","Friends of Juan Vides"
"Kevin Cramer's Out for Himself","North Dakota Democratic-NPL"
"Ethos Research","National Media Distribution Services"
"Stopping Socialism","Justin Haskins"
"Moms Power Elections","MomsRising Together, 3717 Boston St #374, Baltimore, MD, 21224, not authorized by any candidate or candidate’s committee."
"Laura Sundstrom For Campbell County Coroner","The Committee to Re-Elect Laura Sundstrom"
"ND xPlains","ND xPlains"
"America First Policies","America First Policies, Inc."
"Family Policy Alliance of North Dakota","Family Policy Alliance of North Dakota"
"Sunjeev Bery","Sunjeev Bery."
"Our Next America","Our Next America, Inc."
"Americans for Prosperity - North Dakota","Americans for Prosperity"
"Mary Lightbody for OH House District 19","Ohio House Democratic Caucus"
"Ohio Senate Democrats - Campaign Team","Ohio Senate Democrats"
"Ohio Education Association","Ohio Education Association"
"Randi Clites","the Ohio House Democratic Caucus"
"Beth Liston for Ohio","Friends of Beth Liston"
"Scott Pullins for Mount Vernon City Council - Ward 4","Scott Pullins"
"Oh Creative","Oh! Creative, LLC"
